BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,07/06/2021,0
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,06/04/2021,10
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,07/05/2021,220
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,12/11/2021,40
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,24/11/2021,1
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,12/01/2021,2
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,01/12/2021,60
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,13/12/2021,0
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,07/12/2021,3
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,17/12/2021,2
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,28/04/2021,1
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,27/10/2021,1
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,04/02/2021,78
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,16/03/2021,3
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,22/03/2021,290
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,07/12/2021,4
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,06/01/2021,54
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,18/01/2021,2
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,29/03/2021,3
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,22/01/2021,1
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,04/11/2021,4
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,13/12/2021,5
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,01/12/2021,5
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,12/01/2021,66
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,22/02/2021,20
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,24/11/2021,1
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,17/12/2021,6
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,22/12/2021,0
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,10/02/2021,1
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,16/04/2021,0
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,21/04/2021,0
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,18/11/2021,0
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,16/02/2021,4
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,04/03/2021,4
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,15/10/2021,28
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,12/04/2021,23
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,08/11/2021,6
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,07/05/2021,60
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,08/07/2021,4
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,03/09/2021,2
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,12/11/2021,44
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,07/06/2021,0
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,10/08/2021,0
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,12/10/2021,5
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,21/10/2021,6
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,26/02/2021,17
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,06/04/2021,13
